pattern,image_name,rvec_x,rvec_y,rvec_z,t_x,t_y,t_z
chessboard_11x8,images0.jpg,-0.618211,-0.0210014,0.848103,0.00569754,-0.139899,1.64163
chessboard_11x8,images1.jpg,-0.604591,-0.0692305,0.734918,-0.164199,-0.266428,1.64939
chessboard_11x8,images2.jpg,-0.581961,-0.0260565,0.850896,0.0271824,-0.250544,1.49078
chessboard_11x8,images3.jpg,-0.539304,0.00679624,0.716786,0.0319609,-0.366834,1.42597
chessboard_11x8,images4.jpg,-0.67372,-0.0969908,0.646003,-0.263117,-0.179162,1.42856
chessboard_11x8,images5.jpg,-0.566874,0.0473395,0.599295,0.0073335,-0.333536,1.39676
chessboard_11x8,images6.jpg,-0.69683,0.152633,0.496005,0.0688828,-0.0673808,1.38033
chessboard_11x8,images7.jpg,-0.569816,0.0734434,0.337143,-0.131034,-0.371113,1.33431
chessboard_11x8,images8.jpg,-0.703448,-0.00390261,0.391308,-0.338838,-0.0911474,1.66087
chessboard_11x8,images9.jpg,-0.583827,0.0728579,0.372883,-0.187225,-0.324972,1.67838
chessboard_11x8,images10.jpg,-0.57785,0.0268812,0.286704,-0.325394,-0.339919,1.84757
chessboard_11x8,images11.jpg,-0.670224,0.236807,0.213109,0.0489936,-0.0665788,1.90359
chessboard_11x8,images12.jpg,-0.631823,0.209421,0.0884061,-0.113529,-0.178868,1.74279
chessboard_11x8,images13.jpg,-0.63522,-0.0456524,0.543204,-0.259584,-0.245139,1.55552
chessboard_11x8,images14.jpg,-0.614257,0.0794993,0.532549,-0.0428274,-0.240154,1.53738
chessboard_11x8,images15.jpg,-0.609232,0.00245206,0.547308,-0.110474,-0.289739,1.36973
chessboard_11x8,images16.jpg,-0.739254,-0.0779353,0.649742,-0.160108,-0.177292,1.18014
chessboard_11x8,images17.jpg,-0.665145,-0.056003,0.605584,-0.0851091,-0.331156,1.128
chessboard_11x8,images18.jpg,-0.582135,0.123923,0.382056,-0.109699,-0.288956,1.84882
chessboard_11x8,images19.jpg,-0.687894,0.100273,0.243259,-0.277735,-0.127915,1.61469
